# transitions-schema: gororoba-legacy-patch-transitions-v1
patch_index	patch	patch_sha256	input_tree	output_tree	effect_diff_sha256	apply_engine	alternate_engine_result	files_changed	atoms	lines_added	lines_removed
16	0018-rs480-sclk-cntl-pll-status-debugfs.patch	8e7b4c63b9bad39d7b30986ce0c4a6c4935bfc5d09d7a9684d5ab6154ec3eeca	528eed3601a6405a4a738deb1c9e57b202638355	90c57ac18e9013c6c39d710fd6fbb0f5e7f4dcaf	a49fed5864622e65b501761cd7d875f8c7140b8a1fe53088d9aaede65dededd1	git-apply	accepts-identical-tree	1	2	44	0
17	0019-rs480-pll-indirect-and-hazard-firstread-debugfs.patch	b706f21b8a5e099ec006ad105406c71452939bb3671615a2d03865a016b25fa9	90c57ac18e9013c6c39d710fd6fbb0f5e7f4dcaf	a8b6e2187e405ce665a1f38337abc332627e035f	af9cf9efc614cd369ac732ec10159b112b3e374a831233654e007af65f3a9b1e	git-apply	accepts-identical-tree	3	6	196	0
18	0020-rs480-promote-hazard-read-responders-to-safe.patch	df61741aedb64bcdf05001199305e566f2d75b15c517ade104386805b3e77f62	a8b6e2187e405ce665a1f38337abc332627e035f	8133cf8dfca9d57d2ee06b003f0f935182896ac8	2ad0ac429dc33c8e97334819aba2169bce50fa761de1d1e55e34f008bea17896	git-apply	accepts-identical-tree	1	1	29	0
19	0021-rs480-cs-checker-r400-us-allowlist.patch	84c51c35f302e144685fdd9edfc62b6e0e09ff993fb6cc5cce475c79fa3e84a0	8133cf8dfca9d57d2ee06b003f0f935182896ac8	5608c1a538c610c35d82988d4fa42200b48a5dfa	f2788687d31d7a1f5a00101506e0a1c7a181ad0840bbf0bcd22c875c97d30e41	git-apply	gnu-patch-false-reject-fully-contexted-hunk	5	9	821	2
20	0022-rs480-vertex-engine-attended-probe-debugfs.patch	ece85f2d906e860fa458dec8c2bb420d8f8414e6f4667c5d785fba6972ff283c	5608c1a538c610c35d82988d4fa42200b48a5dfa	67677f4bc9a122da7afaa4b18ffdd08476a91164	f85447c78f5f4d3bfd7844c3f156171129f79d84ce6c1bbab39944d07e929ba7	git-apply	gnu-patch-false-reject-fully-contexted-hunk	3	5	53	0
21	0024-rs480-reader-hazard-skip-guard.patch	17e629374a6c3a4e911933c18195abedd7197663a0b9f1e144e2762edb6d8f9b	67677f4bc9a122da7afaa4b18ffdd08476a91164	c3138cf4ef5c0fc870de61771433cf03ea1940b3	85e392502986969e8c868af19aa1106763238faa37a84defcc8ac00c7d65b9a2	git-apply	accepts-identical-tree	1	1	23	0
22	0025-rs480-per-domain-force-clock-then-read-node.patch	930c027a7240675cb6afa3f1e8af15662b5e8f5ba6147815bb4c62a1ff75c9e6	c3138cf4ef5c0fc870de61771433cf03ea1940b3	cab0a62c2f6f55b8aa3e841289339846fe29637f	6c0cb093e2a12409f6a3ba6d56312fe7ccb679cb1d5c97c9b66edf13ceac3320	git-apply	accepts-identical-tree	3	5	100	0
23	0026-rs480-gate-wedge-prone-candidate-readers.patch	06c890d5e9f4c023b1ffbe0da4f603bfaa6911c88c4ad91dd54c44a9fd2196b2	cab0a62c2f6f55b8aa3e841289339846fe29637f	bc53006d3316da4081cf7f2136e60ce65b9b75ed	a5aa694f335e25de3097402a2eb18d2961adb0f429b3bc4a8bfd3ba726aa1dc6	git-apply	accepts-identical-tree	3	5	25	0
24	0027-rs480-gpu-hang-panic-breadcrumb-notifier.patch	e5c0786ebbea57cb1d3b582178d00d7375cc8fcb8e6faec4adecab25788f0f54	bc53006d3316da4081cf7f2136e60ce65b9b75ed	35c3b75d115239acbed5d2dc11fc549d9a58a27a	210a2cf6664f91b4972d3c06c0c4e14beb48925593c585221583d7b9cabdaa50	git-apply	accepts-identical-tree	1	3	76	0
25	0028-rs480-combios4-safe-and-vip-straggler-reader.patch	90e8b93731afbe75aafb2b96ddc6e945449c7fbf648e2dde5c4d5e53034edf91	35c3b75d115239acbed5d2dc11fc549d9a58a27a	c5596a3d813ec52d3024fd4ad532d4f1bd7ba5c3	ef4aaf6327b205cc8bec871f4e8eaf3cd426d875b66f9f2574c6d56f54ac884a	git-apply	accepts-identical-tree	1	3	28	0
26	0029-rs480-force-clock-disp1-disp2-extension.patch	b64d5d086a05347b5c81545095e0923174507f40d9bcf72b4303877cdea25331	c5596a3d813ec52d3024fd4ad532d4f1bd7ba5c3	d1e6d785eb87fb7c587108a0466e9cfabca65269	fc922755355521a7239494ff835940cc0e60306e64dc8cba4570190c37495561	git-apply	accepts-identical-tree	1	2	19	0
27	0030-rs480-force-clock-cohort-widen-fp-crtc2-ov0.patch	0d3dc6d388f074a38620264dd6cc5f4b3cbdd469828862104a6d85c5d47ed1d7	d1e6d785eb87fb7c587108a0466e9cfabca65269	3a2a6abaed141c09f41ecca06aef218c5996ec95	5aa1b7b965ed8ccfe27e3204426fcd8aa192b98112503326c2219b58af3c6124	git-apply	accepts-identical-tree	1	2	24	0
28	0031-rs480-gated-state-plain-read-disp2-probe.patch	02b82ee5a2129b0838e699c3fa19814ff160409a641de53fefc10de60456fa3a	3a2a6abaed141c09f41ecca06aef218c5996ec95	0ca68fb2997c148717562a1656e36df646ebaf55	3832d3b9a8d443a79e89dcfa7f29501dc192c76f250eed72cd39a2d9c1d3f4aa	git-apply	accepts-identical-tree	3	5	68	0
29	0032-rs480-force-clock-remaining-disp-ov0-vip-tv.patch	58346fcc23a428b1c558c97b7d90183fbaae0272b2ff2d2dcd4e31aaecb5ea4b	0ca68fb2997c148717562a1656e36df646ebaf55	125a05a886853a9bf32744dc4aca89d328ea7cb0	8dae8d397130b22a7b110aac8ab7c7316c6b66e2209d6233e2556827d46e396d	git-apply	accepts-identical-tree	1	2	88	0
30	0033-rs480-force-clock-3d-engine-control-registers.patch	d9e27efa5010b6716c69f1ddc9276a0ec2f34b95f1a352688a79dbb58d5fcd06	125a05a886853a9bf32744dc4aca89d328ea7cb0	5f77ed7ea2601eb8e22b81b35903a868149b5f56	f310d2817d7121891368431a220bcee878f66c00582b1d5afa96182f32544b8d	git-apply	accepts-identical-tree	3	6	113	0
31	0034-rs480-force-clock-3d-table-expansion-ga-rs-rb.patch	43e0982e31c012a098ac3408ffc4a81476a0375f7da9dd1a4312c05fdc477c8a	5f77ed7ea2601eb8e22b81b35903a868149b5f56	17493e3dd5ac3073d523242945c6777d059a9055	aeec5196e32fe3e4f0caee5b59677895b04a4a4408b7026840a6c9bd3f13283b	git-apply	accepts-identical-tree	1	1	18	0
32	0035-rs480-force-clock-3d-table-vap-su-sc-fg-rb-control.patch	b373840d3135faf48892b5ad92a3f6e905f8b114230321c1ecf18557268ccfe5	17493e3dd5ac3073d523242945c6777d059a9055	db62924eee07a7b2a93c3ef2841abd7ac4667ef0	cd9e32f0612184e2d2dfc3aec46838b94b8c5bfed1f799555c1580e667ba16b6	git-apply	accepts-identical-tree	1	1	14	0
