# effects-schema: gororoba-legacy-patch-effects-v1
order	patch	patch_sha256	files_touched	hunks	lines_added	lines_removed	new_symbols	module_params	debugfs_nodes
10	0012-rs480-uma-status-debugfs.patch	c4a72d72e4d20455b55e9b34d4f9930e0b1fd310ad6e29c107a3f21d89303e66	radeon/rs400.c	2	50	0	rs480_uma_status_show	none	radeon_rs480_uma_status
11	0013-rs480-cp-me-oracle-debugfs.patch	4b07be4380937339b63043315fa1fa1ae20666274a86f708e198228795f4a981	radeon/rs400.c,radeon/radeon_drv.c,radeon/radeon.h	5	189	0	rs480_cp_me_oracle_show	rs480_cp_me_oracle	radeon_rs480_cp_me_oracle
12	0014-rs480-promote-config-regs-to-safe.patch	85bc4b0bbff13997d51ccce1fa7fa9e4bbf47f1e121203803b8409f6313d6092	radeon/rs400.c	1	7	0	none	none	none
13	0015-rs480-frontier-attended-probe-debugfs.patch	a814f5bd6b46f9b2083d4dc6053d57512b7e571187a2e8e8b9f2ccdc90d6193b	radeon/radeon.h,radeon/radeon_drv.c,radeon/rs400.c	5	49	0	radeon_rs480_frontier_index,rs480_frontier_probe_reg_list,rs480_frontier_probe_show	rs480_frontier_index	radeon_rs480_frontier_probe
14	0016-rs480-cp-me-inject-eio-perdev-ppos-hardening.patch	7dbed51345e065c75bbf97fb269fe784bf78cf0d6d89618f9fce3aba2da1be61	radeon/rs400.c	5	54	17	rs480_cp_me_inject_ctx	none	radeon_rs480_cp_me_ram_inject
15	0017-rs480-promote-frontier-responders-to-safe.patch	1c4dc355f24a95f5eb8b68ab9179dc457873b711dcbba1f9c691b08f7a1d3cee	radeon/rs400.c	1	8	0	none	none	none
16	0018-rs480-sclk-cntl-pll-status-debugfs.patch	8e7b4c63b9bad39d7b30986ce0c4a6c4935bfc5d09d7a9684d5ab6154ec3eeca	radeon/rs400.c	2	44	0	rs480_sclk_cntl_show	none	radeon_rs480_sclk_cntl
17	0019-rs480-pll-indirect-and-hazard-firstread-debugfs.patch	b706f21b8a5e099ec006ad105406c71452939bb3671615a2d03865a016b25fa9	radeon/radeon.h,radeon/radeon_drv.c,radeon/rs400.c	6	196	0	radeon_rs480_hazard_index,rs480_pll_reg,rs480_pll_reg_list,rs480_pll_regs_show,rs480_hazard_read_reg_list,rs480_hazard_read_show	rs480_hazard_index	radeon_rs480_pll_regs,radeon_rs480_hazard_read
18	0020-rs480-promote-hazard-read-responders-to-safe.patch	df61741aedb64bcdf05001199305e566f2d75b15c517ade104386805b3e77f62	radeon/rs400.c	1	29	0	none	none	none
19	0021-rs480-cs-checker-r400-us-allowlist.patch	84c51c35f302e144685fdd9edfc62b6e0e09ff993fb6cc5cce475c79fa3e84a0	radeon/Makefile,radeon/reg_srcs/rs480,radeon/radeon.h,radeon/radeon_drv.c,radeon/rs400.c	9	821	2	rs480_set_reg_safe	rs480_r400_us_cs	none
20	0022-rs480-vertex-engine-attended-probe-debugfs.patch	ece85f2d906e860fa458dec8c2bb420d8f8414e6f4667c5d785fba6972ff283c	radeon/radeon.h,radeon/radeon_drv.c,radeon/rs400.c	5	53	0	radeon_rs480_vertex_index,rs480_vertex_engine_reg_list,rs480_vertex_probe_show	rs480_vertex_index	radeon_rs480_vertex_probe
21	0024-rs480-reader-hazard-skip-guard.patch	17e629374a6c3a4e911933c18195abedd7197663a0b9f1e144e2762edb6d8f9b	radeon/rs400.c	1	23	0	rs480_offset_is_read_hazard	none	none
22	0025-rs480-per-domain-force-clock-then-read-node.patch	930c027a7240675cb6afa3f1e8af15662b5e8f5ba6147815bb4c62a1ff75c9e6	radeon/radeon.h,radeon/radeon_drv.c,radeon/rs400.c	5	100	0	radeon_rs480_force_clock_index,rs480_force_clock_reg,rs480_force_clock_list,rs480_force_clock_read_show	rs480_force_clock_index	radeon_rs480_force_clock_read
23	0026-rs480-gate-wedge-prone-candidate-readers.patch	06c890d5e9f4c023b1ffbe0da4f603bfaa6911c88c4ad91dd54c44a9fd2196b2	radeon/radeon.h,radeon/radeon_drv.c,radeon/rs400.c	5	25	0	none	rs480_hazard_readers_armed	none
24	0027-rs480-gpu-hang-panic-breadcrumb-notifier.patch	076f9239204cf553cbf75d8e83acfb59c09f430d5651ba490f17005753480775	radeon/radeon_device.c	3	76	0	radeon_rs480_panic_notify,radeon_rs480_panic_nb,radeon_rs480_panic_register,radeon_rs480_panic_unregister	none	none
25	0028-rs480-combios4-safe-and-vip-straggler-reader.patch	90e8b93731afbe75aafb2b96ddc6e945449c7fbf648e2dde5c4d5e53034edf91	radeon/rs400.c	3	28	0	rs480_candidate_vip_straggler_reg_list,rs480_candidate_vip_straggler_regs_show	none	radeon_rs480_candidate_vip_straggler_regs
26	0029-rs480-force-clock-disp1-disp2-extension.patch	b64d5d086a05347b5c81545095e0923174507f40d9bcf72b4303877cdea25331	radeon/rs400.c	2	19	0	none	none	none
27	0030-rs480-force-clock-cohort-widen-fp-crtc2-ov0.patch	0d3dc6d388f074a38620264dd6cc5f4b3cbdd469828862104a6d85c5d47ed1d7	radeon/rs400.c	2	24	0	none	none	none
28	0031-rs480-gated-state-plain-read-disp2-probe.patch	02b82ee5a2129b0838e699c3fa19814ff160409a641de53fefc10de60456fa3a	radeon/radeon.h,radeon/radeon_drv.c,radeon/rs400.c	5	68	0	radeon_rs480_gated_read_index,rs480_gated_read_reg,rs480_gated_read_list,rs480_gated_read_show	rs480_gated_read_index	radeon_rs480_gated_read
29	0032-rs480-force-clock-remaining-disp-ov0-vip-tv.patch	58346fcc23a428b1c558c97b7d90183fbaae0272b2ff2d2dcd4e31aaecb5ea4b	radeon/rs400.c	2	88	0	none	none	none
30	0033-rs480-force-clock-3d-engine-control-registers.patch	d9e27efa5010b6716c69f1ddc9276a0ec2f34b95f1a352688a79dbb58d5fcd06	radeon/radeon_drv.c,radeon/radeon.h,radeon/rs400.c	6	113	0	radeon_rs480_force_clock_3d_index,rs480_force_clock_3d_reg,rs480_force_clock_3d_list,rs480_force_clock_3d_read_show	rs480_force_clock_3d_index	radeon_rs480_force_clock_3d_read
31	0034-rs480-force-clock-3d-table-expansion-ga-rs-rb.patch	43e0982e31c012a098ac3408ffc4a81476a0375f7da9dd1a4312c05fdc477c8a	radeon/rs400.c	1	18	0	none	none	none
32	0035-rs480-force-clock-3d-table-vap-su-sc-fg-rb-control.patch	b373840d3135faf48892b5ad92a3f6e905f8b114230321c1ecf18557268ccfe5	radeon/rs400.c	1	14	0	none	none	none
33	0036-rs480-skip-discrete-r300-mc-idle-wait-on-igp.patch	d7af69e31ef8e86b8eb69559abc674f5bcd679ef61c9f8c33565184fb5cbcbfc	radeon/r300.c	1	9	1	none	none	none
34	0037-rs480-force-clock-undoc-4xxx-probe-table.patch	971f82aa6572dca397dc97d582a3cbf611fbda35aacbf95b933bae590859b3f0	radeon/rs400.c	1	195	0	none	none	none
35	0038-rs480-cp-me-inject-idle-gate.patch	0946208df5238f66fce737906a17889566f508cca766178e4876e60c585e3726	radeon/rs400.c	3	33	3	rs480_cp_me_ram_inject_wait_idle	none	none
36	0039-rs480-cp-ib-scratch-baseline-oracle-debugfs.patch	4db590fb082910b87b68692ae6a16d95b468744dabd6cd9ee22a1eaaf4e2e7d3	radeon/rs400.c,radeon/radeon_drv.c,radeon/radeon.h	5	78	0	rs480_cp_ib_scratch_oracle_show	rs480_cp_ib_scratch_oracle	radeon_rs480_cp_ib_scratch_oracle
37	0040-rs480-gpu-reset-recover-probe-debugfs.patch	f8b4114e670f24c399effddaed2b2768266f4ca41baaed48b3f9c211a1d3b011	radeon/rs400.c,radeon/radeon_drv.c,radeon/radeon.h	5	102	0	rs480_gpu_reset_recover_probe_show	rs480_gpu_reset_recover_probe	radeon_rs480_gpu_reset_recover_probe
38	0041-rs480-rbbm-soft-reset-recovery-probe-debugfs.patch	a99ef00f43ca49d01f06eb8041a675712d824c4a19f81c7191b5e9da5b417a49	radeon/rs400.c,radeon/radeon_drv.c,radeon/radeon.h	5	168	0	rs480_soft_reset_result,rs480_soft_reset,rs480_reset_hang_probe_show	rs480_reset_hang_probe	radeon_rs480_reset_hang_probe
39	0042-rs480-blit-busy-reset-recovery-probe-debugfs.patch	cf950319e668bc60198ac907df65aba3ca1e7a05cc64dbe680ed8916db58ba5a	radeon/rs400.c,radeon/radeon_drv.c	5	84	5	rs480_blit_busy_reset	none	none
40	0043-rs480-r300-asic-reset-force-clock-production-path.patch	cb3aaeab39c5655c6126574f57252609482b2efae025cec1dd2e248498d2d2b0	radeon/r300.c	3	25	1	none	none	none
41	0044-rs480-wedged-3d-production-reset-recovery-probe.patch	78aa710995bc2bd41840737d3e69badf11286d3803d847c11505fa3301bf58d6	radeon/radeon_drv.c,radeon/rs400.c	4	99	5	rs480_frontend_busy,rs480_frontend_wedged,rs480_wedged_3d_reset	none	none
42	0045-rs480-wedge-safe-crash-shim-gated-3d-readback.patch	654f42b815258e8a2e5f0caab2b1bd6acd1573f9bc1e0df04fc5211b3087eaed	radeon/radeon_device.c	1	23	5	none	none	none
43	0046-rs480-parked-gpu-failure-path-host-survival.patch	64bbe577a4f28332d6b099349d2500f511f47d5a395735cc413ecc753b8288fa	radeon/radeon_device.c,radeon/rs400.c,radeon/radeon_kms.c	6	67	0	none	none	none
44	0047-rs480-hold-force-clock-on-failed-reset.patch	c086224f34b32f0427628b05e43f728290362db2d7ab281495e97fcee3fa2c81	radeon/r300.c	2	18	4	none	none	none
45	0048-rs480-failed-reset-touch-nothing-after-classification.patch	f53942ec3e1b58c66f09e56abca8f50f2a872e51ed2f72872f47624378499969	radeon/r300.c,radeon/rs400.c	2	19	6	none	none	none
46	0049-rs480-parked-gpu-gart-tlb-flush-guard.patch	4bf55b609e938a9c8b2360023f77582ef230602d7d9f43c0966490188444e1c2	radeon/radeon.h,radeon/radeon_device.c,radeon/rs400.c	3	19	0	none	none	none
47	0050-rs480-parked-gpu-modeset-and-flip-gate.patch	263a189397e6e7e3153fc88a3e185a8639bb5a26677e90363d20f049d2837f39	radeon/radeon_display.c,radeon/radeon_kms.c	5	28	2	none	none	none
48	0051-rs480-parked-gpu-fence-lockup-check-gate.patch	92eda8e11923b3a4d2ee4db9d851b1ab895400791b5b9e13a5711de266356df7	radeon/radeon_fence.c,radeon/radeon_device.c	2	12	0	none	none	none
49	0052-rs480-parked-gpu-close-path-pins.patch	01285287b26ad8374b956becc1207e2705f35f2ed16d7b9f2d54606d88db04d9	radeon/radeon_gem.c,radeon/radeon_ttm.c	2	4	0	none	none	none
50	0053-rs480-parked-gpu-leak-bos-by-design.patch	2992a24f8e6e06242a604783fb45fc6bc4c3a84c38c63e58209d1a7b441364af	radeon/radeon_gem.c	1	13	2	none	none	none
51	0054-rs480-parked-gpu-counted-leak-breadcrumb.patch	d64e7f8f9a1722a54dfc98d74b7dba38b1f6b3e90c2c6f70d6d7c27e9e875921	radeon/radeon_gem.c	2	17	1	rs480_parked_gem_leak	none	none
52	0055-rs480-rs400-include-pci-for-save-restore-state.patch	f0fb0e953af5e53a01a5c674fc71d0d488b5b8aa53cb117d732aef7249de4510	radeon/rs400.c	1	1	0	none	none	none
53	0056-rs480-parked-gpu-quiesce-async-agents.patch	65ff70de18dc87e090ddea63d279aafbe13653d607d2372e02c62c8f3ddf4a5e	radeon/radeon_device.c	2	18	0	none	none	none
54	0057-rs480-parked-gpu-sync-drain-async-works.patch	0ff7f9ce2a5e954383c4238f116f8b66bcb8f69538ad6acefa83e0a6cb689ab3	radeon/radeon_device.c	1	21	3	none	none	none
55	0058-rs480-parked-gpu-disable-kms-output-poll.patch	5468e2c2d97e5e80cb15b862a4c3038e3b8f2777e5218b97542219c9003df030	radeon/radeon_connectors.c,radeon/radeon_device.c	6	57	0	none	none	none
56	0059-rs480-parked-gpu-gate-fbdev-vram-aperture.patch	b714bc1590d61b9d300d67dd36071b939c8a447020d4d7ef5ba1f5f25ba368e0	radeon/radeon_fbdev.c	2	69	2	radeon_fbdev_gpu_parked,radeon_fbdev_fb_read,radeon_fbdev_fb_write,radeon_fbdev_fb_fillrect,radeon_fbdev_fb_copyarea,radeon_fbdev_fb_imageblit	none	none
57	0060-rs480-parked-gpu-sigbus-vram-mmap.patch	165f1cf6743a11851ca33261224a1ae1850bbac5986cbd8cafc02a741c6fd0df	radeon/radeon_gem.c,radeon/radeon_device.c	2	27	0	none	none	none
58	0061-rs480-parked-gpu-debugfs-readers-hard-return.patch	3339e5d4149722a59da9764397dd3aa9077099decd68195ede4d39cb21cee21a	radeon/rs400.c	21	57	0	rs480_debugfs_refuse_if_parked	none	none
59	0062-rs480-parked-gpu-module-unload-no-hardware.patch	f1c51b8dfbb6cbe9282510b91e5ab15b7ee8937a584b9608617b614118e8db11	radeon/radeon_kms.c,radeon/radeon_drv.c	2	25	1	none	none	none
60	0063-rs480-parameterized-soft-reset-mask-candidates.patch	0ae780cf7e59b38e29fd96b80ebaf72fc3be5c5813ee99dccd48b4a293d8c0e4	radeon/r300.c	3	83	5	rs480_reset_mask_sel,struct,rs480_reset_mask,rs480_selected_reset_mask	none	none
61	0064-rs480-soft-reset-mask-candidates-review-hardening.patch	9d65440c6170cd0b16aea6c6c4067f79bba02e3e4c569b792e0e8cb9a0a6516d	radeon/r300.c	5	53	33	none	none	none
62	0065-rs480-soft-reset-mask-selector-races-and-mask-aware-idle.patch	f00c6465a459222ad0a985a3bb28e7ddf3cdaf3b53f628f5dccaad5500258c48	radeon/r300.c	4	15	11	none	none	none
63	0066-rs480-atomic-one-shot-reset-mask-consume-cmpxchg.patch	418ccc742762b7e751cf3ee8d89a56ec7f31003e443b604c73963d22c323a148	radeon/r300.c	1	7	3	none	none	none
64	0067-rs480-reset-idle-check-gui-active-for-experimental-masks.patch	83b4b2b545dea37139eda3165c6486eec8b87d9f01b21240a4462d8ec50566fd	radeon/r300.c	1	10	9	none	none	none
65	0068-rs480-reset-idle-check-comment-grammar.patch	c81db75464b1e819c6e2a20c7d337467fcfca3ad635b10eee33a9d4f454e0850	radeon/r300.c	1	4	3	none	none	none
66	0069-rs480-parked-fbdev-write-advance-ppos.patch	eb54349d64e3c5d9a45e204ed09e80f04c6a62217651ff0976fed13678b4d9c3	radeon/radeon_fbdev.c	1	7	1	none	none	none
67	0070-rs480-parked-gem-fault-reserve-before-placement.patch	21d0a28edb3825d8c5ee208307f553c076599c69405feadf3cad268a28a48061	radeon/radeon_gem.c	1	13	7	none	none	none
68	0071-rs480-parked-residual-irq-cursor-detect-debugfs-gates.patch	1bb113fa512f9c449bcc30145177b8678f1b43aeeb5ad94fd7921e3e871cc42c	radeon/radeon_irq_kms.c,radeon/radeon_device.c,radeon/radeon_cursor.c,radeon/radeon_connectors.c,radeon/radeon_kms.c,radeon/rs400.c	16	67	61	none	none	none
69	0072-rs480-gart-page-table-readonly-debugfs.patch	62c57221319f28785121538302770966ae21e02e94cc4bbebea6d5812b9deed4	radeon/rs400.c	5	169	0	DEFINE_MUTEX,rs400_gart_page_dma_address,rs400_gart_cpu_pat_index,rs400_debugfs_gart_cpu_mapping_emit,rs400_debugfs_gart_page_table_show	none	radeon_rs480_gart_page_table
