# effects-schema: gororoba-legacy-patch-effects-v1
order	patch	patch_sha256	files_touched	hunks	lines_added	lines_removed	new_symbols	module_params	debugfs_nodes
0	0002-rs480-cp-mc-cache-flush.patch	9aaeed7ff68c6892c2c754977784a9ae1ab43722f0270afd4e4f308783ca57fc	radeon/radeon_device.c	4	44	0	radeon_debugfs_rs480_mc_flush_set,radeon_debugfs_rs480_mc_flush_init	none	radeon_rs480_mc_flush
1	0003-rs480-crash-shim-recovery.patch	cc921d8f17005e3e77fb7a610c427d585b15c1dfd907525c6d7575dac168b5c3	radeon/radeon_device.c	1	10	0	none	none	none
2	0004-rs480-candidate-regs-debugfs.patch	dd75e9385f5d790d8b2dea4a3a45a63018381ecc07ef13f736202572af1c50fb	radeon/radeon_drv.c,radeon/radeon.h,radeon/rs400.c	7	216	0	radeon_rs480_candidate_regs,rs480_candidate_regs_debugfs_init,rs480_candidate_reg,rs480_candidate_reg_read,rs480_candidate_config_reg_list,rs480_candidate_gart_mc_reg_list,rs480_candidate_vap_reg_list,rs480_candidate_ga_reg_list,rs480_candidate_sc_reg_list,rs480_candidate_gb_reg_list,rs480_candidate_rb3d_reg_list,rs480_candidate_zb_reg_list,rs480_candidate_config_regs_show,rs480_candidate_gart_mc_regs_show,rs480_candidate_regs_emit,rs480_candidate_vap_regs_show,rs480_candidate_ga_regs_show,rs480_candidate_sc_regs_show,rs480_candidate_gb_regs_show,rs480_candidate_rb3d_regs_show,rs480_candidate_zb_regs_show	rs480_candidate_regs	radeon_rs480_candidate_regs,radeon_rs480_candidate_config_regs,radeon_rs480_candidate_gart_mc_regs,radeon_rs480_candidate_vap_regs,radeon_rs480_candidate_ga_regs,radeon_rs480_candidate_sc_regs,radeon_rs480_candidate_gb_regs,radeon_rs480_candidate_rb3d_regs,radeon_rs480_candidate_zb_regs,radeon_rs480_candidate_z_regs
3	0005-rs480-firmware-read-candidate-regs-debugfs.patch	649b31644834efe1492dd6d3ccf36734654649cc8a454d919a2636e2d8efb5cc	radeon/rs400.c	2	35	0	rs480_candidate_firmware_read_reg_list,rs480_candidate_firmware_read_regs_show	none	radeon_rs480_candidate_firmware_read_regs
4	0006-rs480-cp-me-ram-dump-debugfs.patch	f516362810b934851fd9f8773bddc926e6febf0218bd4731fe2cc18bfc6beeb2	radeon/radeon_drv.c,radeon/rs400.c,radeon/radeon.h	5	101	0	rs480_cp_me_ram_seq_start,rs480_cp_me_ram_seq_next,rs480_cp_me_ram_seq_stop,rs480_cp_me_ram_seq_show,rs480_cp_me_ram_seq_ops,rs480_cp_me_ram_dump_open,rs480_cp_me_ram_dump_fops	rs480_cp_me_ram_dump	radeon_rs480_cp_me_ram_dump
5	0007-rs480-cs-parser-init-failure-telemetry.patch	db99d8058c4054ea6de6c6c618e2f1a3837dd87c09a5f331741961efd8a877e2	radeon/radeon_cs.c	6	67	13	radeon_rs480_cs_parser_init_fail	none	none
6	0008-rs480-cp-me-ram-inject-write-verify-restore.patch	29b1f12b17c1ea40d61638f93e69c9155935dafebeae55c08e07d1669992fe87	radeon/radeon.h,radeon/radeon_drv.c,radeon/rs400.c	6	157	0	DEFINE_MUTEX,rs480_cp_me_inject_result,rs480_cp_me_ram_inject_one,rs480_cp_me_ram_inject_write,rs480_cp_me_ram_inject_show,rs480_cp_me_ram_inject_open,rs480_cp_me_ram_inject_fops	rs480_cp_me_ram_inject	radeon_rs480_cp_me_ram_inject
7	0009-rs480-debugfs-init-dri-minor-root.patch	e5e4da27a9cb3eca0c909411e505ae083c1097d3ff205597fd922ecd8a3e236a	radeon/radeon.h,radeon/radeon_device.c,radeon/radeon_drv.c,radeon/rs400.c	6	36	6	radeon_rs480_re_debugfs_register,radeon_debugfs_rs480_mc_flush_init	none	none
8	0010-rs480-mc-benign-candidate-regs-debugfs.patch	a7d19ed4adbfc90655ecd3684468294e3ba5d25c18c2a4114e39e0b9dfccdf9a	radeon/rs400.c	2	39	0	rs480_candidate_mc_benign_reg_list,rs480_candidate_mc_benign_regs_show	none	radeon_rs480_candidate_mc_benign_regs
9	0011-rs480-gart-status-candidate-regs-debugfs.patch	72188c3a54ad234a16650547615840831c0a5b908d98fcd6b67b45a94ff66829	radeon/rs400.c	2	38	0	rs480_candidate_gart_status_reg_list,rs480_candidate_gart_status_regs_show	none	radeon_rs480_candidate_gart_status_regs
